Stock Price,OPEN PRICE,HIGH ,LOW,RANK,PE_RATIO,EPS,MCAP,SECTOR MCAP RANK,PB RATIO,Div Yield percentage,FACE VALUE,BETA,VWAP,52 Week High/Low,Overall Recommendation,Strong Buy,Buy,Hold,Sell,Strong_sell,Date,Time
"6,615.70",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:33:27
"6,613.80",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:33:38
"6,615.00",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:33:49
"6,615.30",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:33:59
"6,615.30",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:34:10
"6,616.10",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:34:21
"6,615.00",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:34:31
"6,615.00",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:34:41
"6,615.00",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:34:52
"6,615.00",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:35:02
"6,615.00",6650.05,6660.00,6602.00,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:35:13
"6,622.05",,,,66,29.69,223.04,"4,09,440",2,7.52,0.45,2.00,2.30,"6,628.14","8,192.00 / 5,485.70",BUY,14,8,2,4,-,2024-02-16,12:35:25
